Experiment,Model,Fold,Accuracy,Precision,Recall,F1,ROC-AUC
E6_Behavioral_plus_RT,xgboost,2,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,xgboost,3,0.9,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
E6_Behavioral_plus_RT,xgboost,4,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,xgboost,5,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,1,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,2,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,3,0.9,0.8571428571428571,1.0,0.9230769230769231,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,4,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,5,0.9,0.8571428571428571,1.0,0.9230769230769231,1.0
E7_Behavioral_plus_Gaze_Pupil,xgboost,1,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,xgboost,2,0.9,1.0,0.8,0.8888888888888888,0.9
E7_Behavioral_plus_Gaze_Pupil,xgboost,3,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,xgboost,4,1.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,xgboost,5,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,1,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,2,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,3,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,4,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,5,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,xgboost,1,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,xgboost,2,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,xgboost,3,0.9,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
E8_RT_plus_Gaze_Pupil,xgboost,4,1.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,xgboost,5,1.0,1.0,1.0,1.0,1.0
E9_All_features,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E9_All_features,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E9_All_features,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E9_All_features,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E9_All_features,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,1,1.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,2,1.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,3,1.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,4,1.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,5,1.0,1.0,1.0,1.0,1.0
E9_All_features,xgboost,1,1.0,1.0,1.0,1.0,1.0
E9_All_features,xgboost,2,1.0,1.0,1.0,1.0,1.0
E9_All_features,xgboost,3,0.9,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
E9_All_features,xgboost,4,1.0,1.0,1.0,1.0,1.0
E9_All_features,xgboost,5,1.0,1.0,1.0,1.0,1.0
